date,AAPL,INTC,MSFT
2022-11-15,149.811249,30.340305,240.687164
2022-11-16,148.563156,29.174511,241.126053
2022-11-17,150.490234,29.530176,241.076172
2022-11-18,151.059357,29.510418,240.617325
2022-11-21,147.784348,28.591614,241.445251
2022-11-22,149.951035,29.46102,244.417801
2022-11-23,150.839706,29.312826,246.961441
2022-11-25,147.884201,28.986799,246.871658
2022-11-28,144.000137,28.384142,241.155975
2022-11-29,140.954788,28.552095,239.729553
2022-11-30,147.804321,29.70801,254.502548
2022-12-01,148.083893,29.4709,254.053665
2022-12-02,147.584656,29.055956,254.382843
2022-12-05,146.406464,28.818846,249.57489
2022-12-06,142.692139,28.255707,244.507568
2022-12-07,140.725143,27.988956,243.759445
2022-12-08,142.432526,28.097633,246.781876
2022-12-09,141.943283,27.90004,244.806824
2022-12-12,144.26973,28.344624,251.879105
2022-12-13,145.24823,28.384142,256.278107
2022-12-14,142.991684,27.9198,256.577362
2022-12-15,136.291901,26.823162,248.387863
2022-12-16,134.304932,26.59593,244.078659
2022-12-19,132.168198,26.467497,239.849243
2022-12-20,132.098312,26.12171,241.195877
2022-12-21,135.2435,26.507013,243.81929
2022-12-22,132.028412,25.657366,237.594894
2022-12-23,131.658981,25.775923,238.133545
2022-12-27,129.831772,25.627729,236.367981
2022-12-28,125.847855,25.232544,233.944031
2022-12-29,129.412415,25.894478,240.407837
2022-12-30,129.731918,26.11183,239.220825
2023-01-03,124.879326,26.408218,238.98143
2023-01-04,126.167366,27.346783,228.527618
2023-01-05,124.829399,27.228226,221.754562
2023-01-06,129.422394,28.384142,224.368011
2023-01-09,129.951584,28.957159,226.552551
2023-01-10,130.530701,29.085594,228.278229
2023-01-11,133.286499,29.49066,235.180939
2023-01-12,133.206619,29.925364,237.914093
2023-01-13,134.55455,29.74753,238.632294
2023-01-17,135.732758,29.24367,239.749512
2023-01-18,135.003876,28.463179,235.22084
2023-01-19,135.063782,28.077873,231.350525
2023-01-20,137.659805,28.868242,239.619827
2023-01-23,140.894882,29.905603,241.973923
2023-01-24,142.312714,29.559816,241.435272
2023-01-25,141.643738,29.342464,240.00885
2023-01-26,143.74054,29.72777,247.380386
2023-01-27,145.70752,27.821003,247.539993
2023-01-30,142.781998,27.613533,242.103607
2023-01-31,144.070023,27.9198,247.190857
2023-02-01,145.208282,28.720049,252.118515
2023-02-02,150.590088,29.826567,263.938904
2023-02-03,154.264465,29.955,257.704529
2023-02-06,151.498688,28.690001,256.128448
2023-02-07,154.41423,29.049999,266.89151
2023-02-08,151.6884,28.24,266.063599
2023-02-09,150.639999,27.73,262.961365
2023-02-10,151.009995,27.799999,262.442657
2023-02-13,153.850006,28.549999,270.64212
2023-02-14,153.199997,28.639999,271.490021
2023-02-15,155.330002,28.85,269.320007
2023-02-16,153.710007,28.200001,262.149994
2023-02-17,152.550003,27.610001,258.059998
2023-02-21,148.479996,26.059999,252.669998
2023-02-22,148.910004,25.469999,251.509995
2023-02-23,149.399994,25.610001,254.770004
2023-02-24,146.710007,25.139999,249.220001
2023-02-27,147.919998,24.9,250.160004
2023-02-28,147.410004,24.93,249.419998
2023-03-01,145.309998,25.33,246.270004
2023-03-02,145.910004,26.200001,251.110001
2023-03-03,151.029999,26.4,255.289993
2023-03-06,153.830002,25.99,256.869995
2023-03-07,151.600006,25.530001,254.149994
2023-03-08,152.869995,25.98,253.699997
2023-03-09,150.589996,26.440001,252.320007
2023-03-10,148.5,27.219999,248.589996
2023-03-13,150.470001,26.950001,253.919998
2023-03-14,152.589996,28.01,260.790009
2023-03-15,152.990005,28.41,265.440002
2023-03-16,155.850006,30.18,276.200012
2023-03-17,155,29.809999,279.429993
2023-03-20,157.399994,29.16,272.230011
2023-03-21,159.279999,28.459999,273.779999
2023-03-22,157.830002,28.129999,272.290009
2023-03-23,158.929993,29.030001,277.660004
2023-03-24,160.25,29.360001,280.570007
2023-03-27,158.279999,29.18,276.380005
2023-03-28,157.649994,29.290001,275.230011
2023-03-29,160.770004,31.52,280.51001
2023-03-30,162.360001,32.09,284.049988
2023-03-31,164.899994,32.669998,288.299988
