日期,收市,開市,高,低,成交量,升跌（%）
2020/9/3,"1,930.85","1,943.00","1,951.15","1,921.95",,-0.62%
2020/9/4,"1,932.85","1,931.51","1,942.25","1,916.64",,0.10%
2020/9/7,"1,929.18","1,930.35","1,941.45","1,924.43",,-0.19%
2020/9/8,"1,931.26","1,929.14","1,940.80","1,906.57",,0.11%
2020/9/9,"1,946.66","1,932.26","1,950.95","1,920.20",,0.80%
2020/9/10,"1,954.07","1,946.06","1,966.50","1,941.42",,0.38%
2020/9/11,"1,941.50","1,955.20","1,957.95","1,937.42",,-0.64%
2020/9/14,"1,956.37","1,941.05","1,962.52","1,937.46",,0.77%
2020/9/15,"1,955.52","1,957.31","1,972.35","1,948.64",,-0.04%
2020/9/16,"1,959.32","1,956.19","1,973.63","1,949.89",,0.19%
2020/9/17,"1,942.60","1,959.99","1,963.48","1,932.99",,-0.85%
2020/9/18,"1,949.69","1,943.87","1,960.20","1,941.79",,0.37%
2020/9/21,"1,912.57","1,949.55","1,955.75","1,883.21",,-1.90%
2020/9/22,"1,899.28","1,912.80","1,919.99","1,894.93",,-0.69%
2020/9/23,"1,863.55","1,900.20","1,905.56","1,855.77",,-1.88%
2020/9/24,"1,868.04","1,863.42","1,877.30","1,848.45",,0.24%
2020/9/25,"1,860.05","1,868.61","1,875.28","1,852.59",,-0.43%
2020/9/28,"1,880.85","1,859.00","1,883.39","1,849.19",,1.12%
2020/9/29,"1,897.69","1,881.40","1,899.24","1,875.56",,0.90%
2020/9/30,"1,885.44","1,897.81","1,902.39","1,881.31",,-0.65%
2020/10/1,"1,905.05","1,885.80","1,912.09","1,884.48",,1.04%
2020/10/2,"1,898.70","1,905.65","1,917.28","1,889.57",,-0.33%
2020/10/5,"1,912.90","1,902.24","1,918.74","1,886.81",,0.75%
2020/10/6,"1,877.13","1,913.28","1,921.10","1,874.57",,-1.87%
2020/10/7,"1,887.22","1,878.84","1,898.31","1,873.05",,0.54%
2020/10/8,"1,893.09","1,887.40","1,900.73","1,881.86",,0.31%
2020/10/9,"1,929.43","1,894.19","1,930.83","1,893.32",,1.92%
2020/10/12,"1,921.95","1,930.50","1,933.45","1,918.19",,-0.39%
2020/10/13,"1,890.82","1,922.42","1,925.73","1,886.59",,-1.62%
2020/10/14,"1,900.89","1,891.90","1,913.03","1,882.44",,0.53%
2020/10/15,"1,907.82","1,900.31","1,909.22","1,889.46",,0.36%
2020/10/16,"1,898.97","1,907.95","1,914.06","1,897.59",,-0.46%
2020/10/19,"1,904.27","1,899.94","1,918.59","1,897.09",,0.28%
2020/10/20,"1,906.39","1,904.24","1,914.20","1,894.74",,0.11%
2020/10/21,"1,924.49","1,908.65","1,931.41","1,907.94",,0.95%
2020/10/22,"1,904.04","1,924.34","1,926.00","1,894.80",,-1.06%
2020/10/23,"1,900.79","1,904.24","1,914.30","1,894.54",,-0.17%
2020/10/26,"1,901.69","1,902.34","1,908.55","1,890.90",,0.05%
2020/10/27,"1,906.83","1,902.19","1,911.34","1,897.47",,0.27%
2020/10/28,"1,877.06","1,908.05","1,911.03","1,869.59",,-1.56%
2020/10/29,"1,867.13","1,876.94","1,885.42","1,859.67",,-0.53%
2020/10/30,"1,877.95","1,868.24","1,889.85","1,864.64",,0.58%
2020/11/2,"1,895.10","1,878.59","1,896.12","1,873.21",,0.91%
2020/11/3,"1,908.36","1,895.80","1,910.71","1,886.81",,0.70%
2020/11/4,"1,903.21","1,908.59","1,916.68","1,883.15",,-0.27%
2020/11/5,"1,948.56","1,903.65","1,952.95","1,902.43",,2.38%
2020/11/6,"1,951.51","1,949.24","1,960.77","1,935.40",,0.15%
2020/11/9,"1,861.86","1,954.65","1,965.92","1,850.36",,-4.59%
2020/11/10,"1,876.50","1,862.15","1,890.60","1,860.30",,0.79%
2020/11/11,"1,864.71","1,877.34","1,884.93","1,856.05",,-0.63%
2020/11/12,"1,875.76","1,865.30","1,883.88","1,862.46",,0.59%
2020/11/13,"1,888.04","1,876.44","1,897.16","1,873.76",,0.65%
2020/11/16,"1,888.52","1,888.74","1,899.35","1,864.74",,0.03%
2020/11/17,"1,878.60","1,889.15","1,893.90","1,877.69",,-0.52%
2020/11/18,"1,871.41","1,878.60","1,884.92","1,863.94",,-0.38%
2020/11/19,"1,867.37","1,871.44","1,874.34","1,852.48",,-0.22%
2020/11/20,"1,870.49","1,867.59","1,879.98","1,860.66",,0.17%
2020/11/23,"1,835.85","1,869.84","1,876.72","1,830.85",,-1.85%
2020/11/24,"1,807.51","1,836.65","1,839.26","1,800.69",,-1.54%
2020/11/25,"1,805.30","1,807.69","1,817.98","1,801.33",,-0.12%
2020/11/26,"1,810.57","1,805.74","1,818.78","1,805.31",,0.29%
2020/11/27,"1,788.13","1,811.09","1,813.81","1,773.93",,-1.24%
2020/11/30,"1,777.02","1,789.05","1,789.99","1,764.69",,-0.62%
2020/12/1,"1,814.87","1,777.40","1,817.55","1,775.52",,2.13%
2020/12/2,"1,831.01","1,815.19","1,832.65","1,806.99",,0.89%
2020/12/3,"1,840.36","1,831.34","1,844.45","1,823.60",,0.51%
2020/12/4,"1,837.61","1,841.05","1,848.26","1,829.30",,-0.15%
2020/12/7,"1,863.69","1,837.99","1,868.76","1,822.99",,1.42%
2020/12/8,"1,871.36","1,863.55","1,875.79","1,859.83",,0.41%
2020/12/9,"1,839.11","1,871.19","1,871.37","1,825.71",,-1.72%
2020/12/10,"1,835.31","1,839.59","1,850.40","1,828.48",,-0.21%
2020/12/11,"1,839.03","1,835.55","1,847.89","1,824.23",,0.20%
2020/12/14,"1,827.17","1,839.30","1,839.86","1,819.92",,-0.64%
2020/12/15,"1,853.46","1,827.80","1,855.76","1,825.29",,1.44%
2020/12/16,"1,864.15","1,853.94","1,866.20","1,844.75",,0.58%
2020/12/17,"1,885.87","1,864.26","1,896.26","1,861.83",,1.17%
2020/12/18,"1,880.66","1,885.80","1,889.88","1,876.97",,-0.28%
2020/12/21,"1,876.21","1,883.20","1,906.93","1,856.69",,-0.24%
2020/12/22,"1,859.56","1,876.65","1,884.61","1,858.73",,-0.89%
2020/12/23,"1,872.08","1,859.99","1,878.59","1,858.59",,0.67%
2020/12/24,"1,876.56","1,872.74","1,882.55","1,869.52",,0.24%
2020/12/25,"1,875.82","1,877.07","1,877.07","1,877.07",,-0.04%
2020/12/28,"1,871.19","1,885.93","1,900.53","1,869.21",,-0.25%
2020/12/29,"1,877.99","1,872.24","1,886.91","1,870.99",,0.36%
2020/12/30,"1,893.37","1,878.34","1,894.06","1,875.66",,0.82%
2020/12/31,"1,896.49","1,893.55","1,901.26","1,884.77",,0.16%
2021/1/1,"1,898.10","1,897.69","1,899.12","1,897.39",,0.09%
2021/1/4,"1,942.28","1,906.05","1,944.65","1,905.36",,2.33%
2021/1/5,"1,949.35","1,942.65","1,953.17","1,934.08",,0.36%
2021/1/6,"1,918.81","1,950.30","1,959.60","1,901.11",,-1.57%
2021/1/7,"1,912.50","1,919.40","1,927.97","1,906.86",,-0.33%
2021/1/8,"1,848.26","1,912.90","1,917.85","1,828.74",,-3.36%
2021/1/11,"1,844.66","1,849.34","1,857.05","1,817.14",,-0.19%
2021/1/12,"1,855.63","1,845.34","1,864.08","1,837.41",,0.59%
2021/1/13,"1,843.41","1,856.19","1,863.26","1,843.34",,-0.66%
2021/1/14,"1,846.37","1,843.94","1,857.59","1,833.21",,0.16%
2021/1/15,"1,826.59","1,846.80","1,856.85","1,823.21",,-1.07%
2021/1/18,"1,836.89","1,828.94","1,840.95","1,810.46",,0.56%
2021/1/19,"1,839.34","1,838.09","1,845.98","1,833.06",,0.13%
2021/1/20,"1,870.91","1,840.05","1,872.03","1,832.46",,1.72%
2021/1/21,"1,869.91","1,871.07","1,875.45","1,858.16",,-0.05%
2021/1/22,"1,852.55","1,870.09","1,871.17","1,837.09",,-0.93%
2021/1/25,"1,854.99","1,855.75","1,868.45","1,847.30",,0.13%
2021/1/26,"1,850.31","1,855.55","1,861.86","1,848.36",,-0.25%
2021/1/27,"1,843.99","1,850.65","1,853.58","1,831.29",,-0.34%
2021/1/28,"1,840.36","1,844.34","1,864.26","1,833.81",,-0.20%
2021/1/29,"1,846.09","1,840.90","1,876.03","1,839.56",,0.31%
2021/2/1,"1,860.16","1,863.05","1,871.84","1,849.04",,0.76%
2021/2/2,"1,837.35","1,860.84","1,864.26","1,829.46",,-1.23%
2021/2/3,"1,833.76","1,837.49","1,845.29","1,829.49",,-0.20%
2021/2/4,"1,792.26","1,834.34","1,835.13","1,785.15",,-2.26%
2021/2/5,"1,811.62","1,792.49","1,815.32","1,791.80",,1.08%
2021/2/8,"1,830.16","1,815.44","1,839.15","1,807.48",,1.02%
2021/2/9,"1,837.06","1,830.59","1,849.15","1,828.63",,0.38%
2021/2/10,"1,842.22","1,837.55","1,855.70","1,833.91",,0.28%
2021/2/11,"1,825.36","1,842.65","1,847.95","1,820.63",,-0.91%
2021/2/12,"1,823.46","1,825.90","1,830.80","1,810.33",,-0.10%
2021/2/15,"1,818.51","1,825.34","1,827.59","1,815.71",,-0.27%
2021/2/16,"1,794.31","1,819.34","1,826.75","1,789.19",,-1.33%
2021/2/17,"1,776.26","1,794.65","1,795.45","1,769.27",,-1.01%
